0,9,0
1,12,3
1,15,12
0,15,15
1,15,9
1,15,6
1,15,15
1,9,9
1,15,15
1,0,0
1,15,0
1,0,0
0,9,0
1,15,3
1,15,12
1,15,0
1,15,0
1,0,0
0,0,0
1,0,0
1,15,14
1,10,6
1,15,14
1,9,0
1,15,15
1,9,0
1,15,0
1,15,0
1,9,0
1,0,0
1,15,0
1,15,0
1,12,0
1,9,0
1,0,0
1,0,0
1,0,0
1,9,9
1,15,0
1,0,0
1,15,15
1,15,0
1,9,0
0,15,0
1,0,0
1,0,0
1,15,15
1,15,0
1,0,0
1,15,0
1,15,2
1,0,0
1,15,11
1,15,12
1,12,6
1,15,0
1,9,9
1,15,0
1,12,10
1,15,15
1,9,0
1,15,15
1,12,12
1,9,9
1,15,0
1,16,15
1,15,9
1,15,15
1,12,1
1,9,0
0,0,0
1,0,0
1,9,0
1,9,3
1,15,6
1,15,12
0,9,0
1,15,14
1,15,0
1,12,0
1,9,1
1,16,15
1,15,0
1,12,2
1,0,0
0,0,0
1,15,0
1,12,9
1,15,0
1,15,0
1,15,0
1,0,0
0,15,1
1,15,0
1,0,0
1,15,0
1,15,1
1,0,0
0,9,2
1,9,9
1,15,15
1,9,3
0,7,0
1,15,0
1,15,15
1,15,15
1,15,15
1,18,11
1,10,0
1,9,0
1,15,15
0,15,0
1,9,0
1,0,0
1,15,0
1,15,15
1,15,12
1,0,0
0,9,1
1,15,9
1,12,0
1,0,0
1,9,0
1,15,2
1,0,0
1,15,0
1,9,0
1,16,12
1,11,0
1,15,14
0,12,0
1,13,0
1,0,0
0,15,15
1,15,15
0,3,0
1,10,3
1,15,0
1,14,0
1,15,0
1,0,0
1,0,0
1,9,0
0,0,0
