snackBehav, grp, oftenSnack, checkCal, abovePrice, BIQseek, all_risky, button1, button2, buttons_all, SIC, PDQ1,1,1,0,1,1,1,9,6,15,3,2.5
0,0,0,0,0,0,1,9,0,9,2,2.333333333333333
1,0,1,0,1,1,1,9,9,18,3,2.0
0,1,1,1,1,1,1,9,9,18,2,3.0
1,0,0,0,0,1,1,9,9,18,-1,0.0
0,1,1,0,1,1,1,9,0,9,2,2.5
1,1,0,0,0,0,1,9,3,12,1,1.1666666666666665
0,0,1,0,1,0,1,9,9,18,0,2.5
0,0,0,0,0,1,1,9,6,15,3,1.5
1,1,0,0,0,0,1,9,9,18,0,0.0
1,1,0,0,0,0,1,9,9,18,0,0.8333333333333333
0,0,0,1,0,0,1,9,0,9,2,0.0
1,1,0,0,0,1,1,9,6,15,2,1.0
0,0,0,0,0,1,1,9,2,11,0,0.8333333333333333
1,0,1,0,1,1,0,1,0,1,0,0.0
0,0,0,0,0,0,1,9,0,9,-1,0.6666666666666666
0,1,1,0,1,1,1,9,0,9,0,0.6666666666666666
1,1,1,0,1,1,0,9,8,17,3,3.0
0,1,0,0,0,0,1,9,0,9,-1,1.5
0,0,1,0,1,1,1,9,9,18,2,1.5
0,0,0,0,0,0,1,9,1,10,0,0.8333333333333333
0,1,1,0,1,1,1,9,0,9,3,3.0
0,0,1,0,1,1,1,9,1,10,3,3.0
0,0,0,1,0,0,1,5,0,5,1,0.0
0,1,1,1,1,1,1,9,0,9,3,3.0
0,1,1,1,1,1,1,9,9,18,3,3.0
1,0,0,0,0,1,1,9,1,10,0,1.3333333333333333
1,0,1,0,0,1,1,9,0,9,3,1.5
0,1,1,1,1,1,1,9,3,12,1,3.0
0,1,1,0,1,1,1,9,9,18,2,1.8333333333333333
0,0,1,0,1,1,1,9,0,9,2,3.0
0,1,0,0,0,0,1,7,0,7,-1,0.0
0,1,1,0,1,1,1,9,0,9,2,1.8333333333333333
1,1,1,0,1,1,1,6,0,6,1,2.5
0,0,0,0,0,0,1,9,1,10,2,1.8333333333333333
0,0,1,0,1,1,0,9,3,12,3,3.0
0,1,0,0,0,0,1,9,1,10,-1,0.0
0,1,0,0,0,1,1,9,0,9,0,1.5
0,1,0,1,0,1,1,9,9,18,2,1.0
0,1,1,1,1,1,1,9,1,10,3,3.0
1,0,0,0,0,0,1,9,9,18,0,0.6666666666666666
0,1,1,0,1,1,1,9,9,18,2,1.5
0,1,1,1,1,1,1,9,9,18,3,3.0
0,1,1,1,1,1,1,2,0,2,2,1.3333333333333333
0,1,1,0,1,1,1,9,9,18,2,1.0
0,0,1,0,1,1,1,9,0,9,3,1.8333333333333333
0,0,0,0,0,1,1,9,8,17,2,2.5
0,0,0,0,0,0,1,9,1,10,3,1.5
0,1,0,0,0,1,1,9,9,18,3,3.0
0,0,1,0,1,1,1,9,0,9,3,3.0
0,1,0,1,0,0,1,6,3,9,2,0.5
