loss,21,15,6,7
gain,15,24,27,27
loss,10,12,19,29
gain,10,0,0,0
gain,31,30,31,30
gain,7,14,15,15
loss,22,15,16,15
loss,14,18,14,14
loss,16,21,28,16
loss,16,15,15,15
gain,2,0,0,0
gain,23,21,23,15
gain,10,9,15,0
gain,28,9,4,0
loss,31,30,30,30
loss,5,0,0,0
loss,36,12,30,0
loss,25,15,9,15
loss,22,12,15,15
gain,15,15,30,15
gain,21,2,0,0
loss,33,20,12,12
loss,13,15,15,17
gain,11,14,15,0
gain,21,15,30,30
loss,0,0,0,0
loss,15,9,12,9
gain,15,15,15,12
gain,21,25,30,27
gain,30,30,30,30
loss,15,12,9,15
loss,31,21,28,21
loss,15,9,17,13
gain,13,15,15,0
gain,30,26,15,3
gain,1,0,0,0
gain,15,15,18,15
gain,9,15,9,9
loss,14,9,16,9
loss,18,15,11,15
gain,18,21,24,30
gain,31,30,30,30
loss,12,12,17,15
loss,15,12,30,27
loss,9,16,0,0
loss,15,7,12,0
gain,31,30,24,24
loss,30,18,30,24
loss,30,28,30,30
loss,32,17,17,15
gain,30,22,30,31
loss,19,12,18,15
gain,15,15,0,0
loss,27,24,30,18
gain,9,15,16,0
loss,30,30,30,30
loss,21,15,18,15
loss,19,16,15,9
gain,27,23,18,15
gain,27,15,30,30
gain,30,30,31,30
gain,12,13,18,11
gain,15,15,15,15
gain,5,2,0,0
loss,15,15,15,18
gain,31,30,30,30
gain,30,22,30,29
gain,18,21,15,14
loss,37,24,22,22
gain,13,9,4,0
loss,30,24,30,30
gain,15,15,15,15
loss,12,12,9,12
gain,27,21,27,9
loss,37,30,31,30
gain,13,15,15,15
gain,18,19,17,0
gain,27,15,15,9
loss,15,13,18,15
gain,15,21,30,18
loss,18,15,15,15
gain,30,30,30,29
gain,9,9,5,0
gain,24,30,30,12
gain,15,15,26,30
gain,17,15,16,0
loss,30,30,30,30
gain,15,15,15,15
gain,2,15,15,21
loss,19,11,13,11
loss,15,15,15,15
gain,30,26,18,15
loss,9,15,15,12
gain,15,13,15,0
gain,24,24,31,31
gain,15,19,29,9
gain,30,29,30,30
loss,12,15,15,15
loss,21,15,24,9
gain,29,30,30,29
gain,16,15,9,10
loss,16,15,9,9
gain,27,16,16,15
gain,12,15,15,9
gain,27,19,18,9
gain,19,15,15,15
gain,13,16,16,16
loss,30,15,20,0
loss,7,15,0,0
gain,9,21,9,9
gain,28,26,26,26
loss,24,15,21,15
gain,9,15,27,29
loss,15,21,30,27
gain,15,15,15,15
gain,28,16,21,16
gain,18,30,30,27
gain,9,9,9,0
gain,33,32,28,21
loss,15,12,15,15
gain,19,30,25,18
gain,25,27,30,24
gain,12,22,31,28
gain,32,30,31,30
loss,27,12,15,15
gain,11,13,15,17
gain,27,12,15,9
loss,9,3,0,0
loss,13,15,0,0
