gain,btruDZRTdLHpSMw8Z,True,True,9,4,9,0,True,True,9,0,9,0
loss,wLGnCDxPy8oExZXAx,True,True,9,9,9,9,True,True,9,9,9,9
gain,k3GpWCr7PFT6C8hp7,True,True,9,0,9,0,True,empty,9,0,0,0
gain,qBC3M3KQn9vNCcPqE,True,True,9,0,9,6,True,True,9,9,9,9
loss,zBGtTaoT9NXXoiDCo,False,False,9,9,9,0,False,False,9,4,9,2
loss,peZip3nZ25pQ4ism4,True,True,9,9,9,9,True,True,9,9,9,9
gain,w7iHdtHuvS62tpX9A,False,True,9,9,9,9,True,empty,9,9,9,9
loss,RMo96PZASrs7J7ShD,False,False,9,1,9,0,False,False,9,0,9,0
gain,sffrXtuXr5TiAB4mp,True,True,9,0,9,0,True,True,9,0,9,0
gain,CLtNCJghz2jZqxeK9,False,False,7,0,9,0,False,False,9,0,9,0
loss,TRHpDyjtFJ4Bf98dL,False,True,5,0,0,0,False,True,0,0,0,0
loss,zHSLFZ2ThvDD5HYzx,True,True,9,0,9,0,True,True,9,2,9,0
loss,7WepedTffMwj4827y,False,False,9,9,9,1,False,False,9,0,9,0
loss,Yq2tfTdFxrtJJrtiK,False,False,9,0,9,0,True,True,9,0,9,2
gain,EKWRiN76o86oB7anS,True,True,9,0,9,0,True,empty,9,0,9,0
gain,XEFQSfMA4Np9cuPw7,False,False,9,0,9,9,False,False,9,0,9,0
loss,Lcmknpky6pFHN3tQu,False,True,9,6,9,0,False,False,9,3,9,0
gain,c7KXKPxqoFftvbiRo,False,False,5,0,1,1,False,False,0,0,0,0
gain,ShADd3RgtYRfwa2MZ,True,True,9,9,9,9,True,True,9,9,9,9
gain,hFMehFgYKLkcpyuQ9,True,True,9,9,9,0,False,False,3,1,0,0
loss,CpCwPvRPuXbcP6cz2,True,True,9,0,3,0,True,False,0,0,0,0
loss,ufYSbrs2puEYHomhr,False,False,9,9,9,9,False,False,9,9,9,9
gain,qXjSPCjisfJ95eEvt,False,False,9,0,9,0,False,False,9,9,9,9
gain,XCDm5KKWWLKo82ig8,False,False,9,6,9,0,False,False,9,0,9,1
gain,pnco6QuR9SNdHu77x,False,False,9,9,9,0,False,False,9,6,9,0
gain,46jJ5bQRXvenhFmTb,False,False,9,6,2,0,False,empty,0,0,0,0
gain,nTjB9cbr4ip2uXa8g,False,False,9,9,9,1,False,False,9,6,9,1
loss,eBK9ZbEMsYZr4qvN5,True,True,9,9,9,9,True,True,9,9,9,9
gain,2HF6FqEczphrX2Bid,False,False,9,9,9,4,True,True,9,3,9,0
gain,z5RvEc5BoDxBiH3iy,True,True,9,0,9,0,True,True,0,0,0,0
loss,PqWLTxemD9c69esfF,True,True,9,9,9,3,True,True,9,9,9,0
