1,15,4,19
0,15,0,15
1,15,0,15
1,15,10,25
0,15,8,23
1,15,12,27
1,15,6,21
1,15,0,15
0,15,15,30
0,15,0,15
0,15,15,30
0,15,14,29
0,13,0,13
0,14,7,21
1,2,0,2
0,0,0,0
1,15,15,30
0,15,1,16
0,15,0,15
1,16,0,16
0,15,0,15
1,9,0,9
0,0,0,0
0,5,0,5
1,12,2,14
0,15,0,15
1,12,12,24
0,11,0,11
1,12,12,24
1,0,0,0
0,15,0,15
0,12,0,12
1,15,6,21
0,9,1,10
0,15,0,15
1,13,3,16
0,17,3,20
1,15,0,15
0,15,14,29
0,15,15,30
1,15,2,17
0,9,6,15
1,0,0,0
1,12,7,19
0,14,12,26
1,15,9,24
0,15,0,15
0,15,0,15
0,16,0,16
1,15,0,15
0,0,0,0
0,15,0,15
1,0,0,0
1,15,15,30
1,17,13,30
1,15,0,15
1,15,15,30
0,15,15,30
1,13,0,13
0,12,0,12
0,15,4,19
0,12,0,12
0,15,0,15
0,12,0,12
0,12,3,15
1,9,0,9
1,15,0,15
0,15,0,15
0,19,4,23
0,9,0,9
0,13,0,13
1,15,11,26
0,15,2,17
1,16,4,20
1,1,1,2
0,15,12,27
0,12,0,12
1,9,6,15
0,15,0,15
0,12,0,12
0,15,0,15
0,15,3,18
1,15,15,30
0,9,0,9
1,15,3,18
0,15,12,27
1,15,0,15
0,15,0,15
0,12,9,21
0,15,4,19
0,15,0,15
0,15,15,30
0,15,0,15
0,15,0,15
1,12,0,12
0,15,17,32
0,15,0,15
0,15,0,15
0,15,4,19
0,15,0,15
1,15,0,15
1,16,6,22
1,15,15,30
0,0,0,0
1,15,15,30
0,9,12,21
1,9,2,11
0,15,3,18
1,15,0,15
0,0,0,0
0,15,13,28
1,15,3,18
0,15,0,15
0,15,10,25
0,13,2,15
1,14,0,14
1,12,0,12
0,14,0,14
1,12,0,12
0,9,6,15
1,0,0,0
0,8,0,8
0,15,0,15
0,15,0,15
1,15,1,16
0,12,1,13
1,0,0,0
0,15,15,30
0,0,0,0
1,15,12,27
1,0,0,0
1,15,11,26
1,0,0,0
0,9,0,9
0,15,15,30
1,15,12,27
0,15,15,30
1,0,0,0
0,15,1,16
0,12,0,12
0,15,15,30
1,15,15,30
1,15,15,30
0,15,6,21
0,15,1,16
1,12,9,21
0,16,0,16
0,3,0,3
1,9,0,9
1,9,0,9
0,15,0,15
1,11,0,11
1,3,0,3
1,15,1,16
0,15,15,30
0,0,0,0
0,15,15,30
1,15,0,15
1,12,9,21
0,15,9,24
1,12,9,21
0,15,0,15
1,0,0,0
1,9,0,9
1,12,0,12
1,9,9,18
1,10,9,19
0,15,0,15
0,15,15,30
1,6,6,12
0,15,15,30
0,15,15,30
0,13,9,22
1,12,0,12
0,15,12,27
0,15,6,21
0,15,15,30
1,9,6,15
1,15,0,15
1,15,15,30
0,12,6,18
0,15,0,15
0,15,15,30
1,12,0,12
0,15,0,15
1,12,9,21
1,15,1,16
0,0,0,0
1,15,15,30
1,15,15,30
0,13,0,13
0,10,0,10
1,12,10,22
1,15,6,21
0,12,0,12
1,0,0,0
0,16,13,29
1,15,15,30
1,9,0,9
0,15,0,15
1,12,3,15
0,15,0,15
1,15,0,15
0,15,12,27
1,12,3,15
0,15,9,24
0,15,0,15
1,15,0,15
0,15,0,15
0,3,0,3
